sample_id,center_mean,whole_slice_mean
sub-3016_I310299,0.504,-0.069
sub-3052_I223772,0.595,-0.005
sub-3053_I223773,0.774,0.153
sub-3054_I223783,0.862,0.021
sub-3057_I224531,0.828,-0.035
sub-3063_I232096,0.887,0.125
sub-3064_I243201,0.563,0.058
sub-3066_I243207,0.868,0.011
sub-3069_I260290,0.996,0.03
sub-3107_I232145,0.647,-0.014
sub-3112_I243567,0.85,0.088
sub-3119_I294933,0.569,0.018
sub-3123_I337649,0.604,-0.033
sub-3151_I243569,0.797,0.027
sub-3161_I249253,0.555,-0.04
sub-3179_I344267,0.594,-0.022
sub-3190_I372980,0.624,0.039
sub-3233_I366301,0.652,0.125
sub-3305_I254015,0.609,-0.012
sub-3320_I315653,1.025,0.182
sub-3332_I378538,1.022,0.088
sub-3383_I351065,0.761,0.119
sub-3385_I353396,0.608,-0.004
sub-3389_I367347,0.687,0.031
sub-3390_I374735,0.785,0.02
sub-3554_I249266,0.866,0.061
sub-3564_I265367,0.622,-0.008
sub-3592_I373031,0.804,0.079
sub-3600_I232122,1.273,0.082
sub-3603_I270076,0.576,0.007
sub-3610_I243293,0.603,0.014
sub-3611_I243296,1.157,0.092
sub-3614_I249483,0.602,0.068
sub-3620_I275301,0.99,0.07
sub-3629_I352227,0.562,-0.002
sub-3635_I362044,0.801,0.07
sub-3756_I269521,0.671,0.001
sub-3757_I269528,0.432,-0.119
sub-3759_I282152,0.721,0.099
sub-3763_I288077,0.764,0.043
sub-3767_I288145,0.745,0.029
sub-3776_I365066,0.8,0.005
sub-3805_I269561,0.611,0.088
sub-3807_I269573,0.498,-0.025
sub-3859_I395291,1.251,0.079
sub-3950_I368602,1.301,0.199
sub-3967_I364009,0.684,0.061
sub-3968_I364012,1.163,-0.019
sub-4018_I334566,0.62,0.046
sub-4032_I367388,0.698,0.091
sub-4037_I373059,0.538,0.026
sub-4067_I356068,0.782,0.111
sub-4080_I353450,0.56,0.003
sub-4085_I377945,0.807,0.028
sub-4091_I355406,0.814,0.039
sub-4092_I355408,0.675,0.067
sub-4100_I355418,1.148,0.037
sub-4104_I364058,0.743,-0.006
sub-4105_I355437,0.658,-0.053
sub-4108_I364072,0.482,-0.025
sub-4109_I364073,0.486,-0.046
sub-4136_I377973,0.913,0.089
sub-4139_I377981,0.615,-0.045
sub-5004_I1350071,0.66,0.031
sub-14426_I416908,0.498,-0.093
sub-16785_I814554,0.597,0.0
sub-40725_I473971,0.679,0.063
sub-40781_I475689,0.653,0.04
sub-40806_I713724,0.671,-0.008
sub-40893_I554267,1.139,0.238
sub-41420_I473977,0.742,0.062
sub-41488_I951753,0.59,0.036
sub-42072_I1412721,0.496,-0.032
sub-50086_I574310,0.549,0.0
sub-51302_I507844,0.915,0.194
sub-52432_I665357,0.8,0.088
sub-52530_I626665,0.976,0.016
sub-52678_I966926,0.617,-0.042
sub-52871_I945380,0.576,0.022
sub-52888_I757649,0.552,-0.007
sub-53060_I831134,0.946,0.113
sub-53310_I728316,0.67,0.04
sub-53423_I781814,0.595,0.034
sub-53988_I650213,0.666,0.07
sub-54048_I757668,1.104,0.077
sub-54144_I671487,0.595,-0.09
sub-56807_I893121,0.792,0.083
sub-57714_I893155,0.754,-0.03
sub-58783_I945444,0.701,-0.035
sub-59174_I893271,0.57,-0.059
sub-59614_I893281,0.672,-0.015
sub-59649_I945475,0.571,-0.105
sub-60006_I554337,0.667,0.046
sub-60035_I416921,0.679,0.064
sub-60063_I814666,0.69,0.16
sub-65002_I437355,0.85,0.05
sub-70378_I1120659,0.428,-0.118
sub-70630_I1350770,0.662,0.01
sub-70659_I1348298,0.684,-0.072
sub-71809_I968081,0.614,0.067
sub-72110_I945523,0.766,-0.124
sub-72760_I968085,1.279,0.081
sub-73432_I1348303,0.865,-0.018
sub-73787_I968103,0.688,-0.107
sub-74034_I1120662,0.492,-0.018
sub-74199_I1120545,0.922,-0.058
sub-74272_I1120668,0.678,0.081
sub-75440_I1199297,0.75,0.003
sub-75484_I1196708,0.623,-0.027
sub-75505_I1196817,0.572,0.032
sub-147407_I11082012,1.59,0.113
sub-282583_I11083041,1.763,0.146
sub-335195_I10934044,2.018,0.04
sub-75409_I1348312,0.487,-0.06
